,0
Geography_Germany,0.12241533182274718
Age,0.11123831034480966
EngagementProductInteraction,0.09987585128761231
EstimatedSalary,0.07724147033017528
Balance,0.07617760438706916
NumOfProducts,0.07515044869262687
BalanceSalaryRatio,0.07513833594412114
CreditScore,0.07504273342457125
AgeTenureInteraction,0.06667871465583801
IsActiveMember,0.06193056626206222
ProductDensity,0.04129380484955473
Tenure,0.041198750447227726
Gender_Male,0.025945216910044845
ProductsPerCreditCard,0.020471427614694823
IsZeroBalance,0.011484097000782772
HasCrCard,0.011454890081840552
Geography_Spain,0.007262445944221324
