CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductDensity,EngagementProductInteraction,AgeTenureInteraction,IsZeroBalance,ProductsPerCreditCard,Exited
432.0,France,Male,64,9.0,85784.89,1,1,0,194211.75,0.441705758247077,0.1,0,640.0,0,0.5,0
678.0,France,Female,46,1.0,137666.4,2,1,1,132209.69,1.0412652713634578,1.0,2,92.0,0,1.0,0
694.0,Germany,Male,69,6.0,132862.12,1,0,0,63811.31,2.0820766400714845,0.14285714285714285,0,483.0,0,1.0,1
805.0,France,Female,38,10.0,61567.11,1,1,0,177312.04,0.3472226859344355,0.09090909090909091,0,418.0,0,0.5,0
595.0,France,Male,60,1.0,0.0,2,0,0,91665.13,0.0,1.0,0,120.0,1,2.0,0
772.0,France,Female,49,8.0,61805.71,1,1,1,100853.87,0.612818300197105,0.1111111111111111,1,441.0,0,0.5,0
599.0,Spain,Female,51,1.0,184400.83,2,1,1,19903.24,9.264399444540459,1.0,2,102.0,0,1.0,0
613.0,France,Male,51,7.0,228250.63,1,1,1,12888.49,17.708274726152858,0.125,1,408.0,0,0.5,0
584.0,Germany,Female,36,6.0,99947.27,2,1,0,58810.91,1.699439280241026,0.2857142857142857,0,252.0,0,1.0,0
756.0,Spain,Female,49,2.0,51439.54,1,1,0,73953.28,0.6955586613783543,0.3333333333333333,0,147.0,0,0.5,0
703.0,Spain,Female,53,3.0,0.0,2,1,1,175869.8,0.0,0.5,2,212.0,1,1.0,0
558.0,France,Female,59,5.0,85077.04,2,1,0,59281.31,1.4351168164668346,0.3333333333333333,0,354.0,0,1.0,0
643.0,France,Male,62,1.0,64061.44,1,1,0,3800.26,16.852685688429627,0.5,0,124.0,0,0.5,0
631.0,France,Female,38,5.0,0.0,1,1,0,94963.39,0.0,0.16666666666666666,0,228.0,1,0.5,0
707.0,Spain,Male,67,9.0,0.0,1,0,1,172683.45,0.0,0.1,1,670.0,1,1.0,0
486.0,Spain,Male,87,0.0,170025.51,2,1,0,138661.3,1.2261841178171717,2.0,0,87.0,0,1.0,1
782.0,France,Male,50,5.0,0.0,1,1,1,137794.25,0.0,0.16666666666666666,1,300.0,1,0.5,0
685.0,Spain,Male,76,9.0,0.0,2,1,1,110781.14,0.0,0.2,2,760.0,1,1.0,0
716.0,Germany,Female,68,4.0,73069.6,2,0,1,16216.51,4.505599194944231,0.4,2,340.0,0,2.0,1
623.0,Spain,Male,54,3.0,84001.73,1,1,1,147712.12,0.5686815768294651,0.25,1,216.0,0,0.5,0
815.0,Spain,Male,53,8.0,149560.31,1,0,0,155881.44,0.9594429622733645,0.1111111111111111,0,477.0,0,1.0,0
768.0,France,Male,80,0.0,151815.86,1,1,1,101333.91,1.4981595187680137,1.0,1,80.0,0,0.5,0
601.0,Germany,Female,38,3.0,0.0,1,1,0,152470.92,0.0,0.25,0,152.0,1,0.5,0
542.0,Germany,Female,54,6.0,77979.48,1,1,0,194148.74,0.40164606967797123,0.14285714285714285,0,378.0,0,0.5,0
778.0,Germany,Female,66,2.0,71518.76,1,0,1,34997.74,2.0434667076586184,0.3333333333333333,1,198.0,0,1.0,0
746.0,France,Female,66,2.0,109629.26,2,0,1,198753.02,0.5515826044675726,0.6666666666666666,2,198.0,0,2.0,0
767.0,France,Male,54,10.0,99209.86,2,1,1,79753.43,1.2439416844932627,0.18181818181818182,2,594.0,0,1.0,0
565.0,France,Male,39,0.0,81692.17,2,1,0,116496.32,0.7012364747961584,2.0,0,39.0,0,1.0,0
717.0,Spain,Male,76,3.0,0.0,1,1,1,117982.77,0.0,0.25,1,304.0,1,0.5,0
850.0,France,Male,46,0.0,81062.65,2,0,0,118865.41,0.6819643160755001,2.0,0,46.0,0,2.0,0
653.0,France,Female,43,4.0,97499.84,1,1,1,162252.61,0.6009101430778644,0.2,1,215.0,0,0.5,1
850.0,Germany,Male,49,5.0,128609.04,2,1,1,192898.32,0.6667158805951208,0.3333333333333333,2,294.0,0,1.0,0
572.0,Spain,Male,60,4.0,0.0,2,1,0,168453.43,0.0,0.4,0,300.0,1,1.0,0
607.0,Germany,Female,59,8.0,83904.12,2,0,0,12112.01,6.926777076878496,0.2222222222222222,0,531.0,0,2.0,1
724.0,France,Male,59,6.0,0.0,2,1,0,54563.16,0.0,0.2857142857142857,0,413.0,1,1.0,0
516.0,Germany,Female,39,0.0,68046.36,2,1,1,7466.03,9.112908345084994,2.0,2,39.0,0,1.0,1
563.0,Spain,Female,77,8.0,131341.43,1,1,0,67284.73,1.9519953190669106,0.1111111111111111,0,693.0,0,0.5,0
591.0,Germany,Female,55,1.0,0.0,1,1,1,180177.93,0.0,0.5,1,110.0,1,0.5,0
627.0,France,Male,54,8.0,0.0,2,1,1,83926.16,0.0,0.2222222222222222,2,486.0,1,1.0,0
794.0,Germany,Female,74,9.0,79058.82,1,1,1,32823.05,2.408563842670237,0.1,1,740.0,0,0.5,0
570.0,France,Male,64,10.0,0.0,1,1,1,42635.03,0.0,0.09090909090909091,1,704.0,1,0.5,0
793.0,Germany,Male,83,7.0,153241.05,2,1,0,129823.85,1.180367626074669,0.25,0,664.0,0,1.0,0
625.0,France,Female,70,6.0,170420.43,1,0,0,37768.16,4.512158332353698,0.14285714285714285,0,490.0,0,1.0,1
731.0,France,Female,46,6.0,46771.33,2,1,1,15199.87,3.0768850730254256,0.2857142857142857,2,322.0,0,1.0,0
638.0,Germany,Male,51,9.0,46085.66,2,0,0,111616.35,0.4128897523548086,0.2,0,510.0,0,2.0,0
785.0,Germany,Male,69,1.0,182074.65,1,1,0,83439.31,2.182094601518139,0.5,0,138.0,0,0.5,1
642.0,France,Male,52,6.0,0.0,1,1,1,47689.76,0.0,0.14285714285714285,1,364.0,1,0.5,1
484.0,Germany,Female,70,8.0,0.0,2,1,1,42010.44,0.0,0.2222222222222222,2,630.0,1,1.0,0
627.0,France,Male,90,1.0,0.0,2,1,0,171253.24,0.0,1.0,0,180.0,1,1.0,1
590.0,Spain,Male,77,3.0,112616.06,1,1,0,17513.62,6.4298317634068,0.25,0,308.0,0,0.5,0
611.0,France,Male,28,7.0,92962.0,1,1,0,174886.36,0.5315535668215244,0.125,0,224.0,0,0.5,0
720.0,Germany,Female,53,6.0,91774.91,2,0,0,748.01,122.52828400154871,0.2857142857142857,0,371.0,0,2.0,1
604.0,France,Male,65,1.0,47029.83,2,0,1,152644.48,0.30809841208531036,1.0,2,130.0,0,2.0,0
642.0,Germany,Male,73,4.0,117556.95,2,1,0,144972.99,0.8108830418477135,0.4,0,365.0,0,1.0,0
571.0,France,Male,68,1.0,80641.86,1,1,1,57611.54,1.399727559312608,0.5,1,136.0,0,0.5,0
598.0,France,Male,58,8.0,0.0,1,1,1,185796.53,0.0,0.1111111111111111,1,522.0,1,0.5,0
541.0,France,Female,56,1.0,154255.91,1,1,0,158619.61,0.9724833992253593,0.5,0,112.0,0,0.5,0
478.0,France,Male,48,9.0,0.0,2,0,1,67478.74,0.0,0.2,2,480.0,1,2.0,0
719.0,France,Female,55,10.0,0.0,2,1,0,49456.6,0.0,0.18181818181818182,0,605.0,1,1.0,1
585.0,France,Female,63,7.0,0.0,2,1,1,173469.79,0.0,0.25,2,504.0,1,1.0,0
619.0,France,Female,77,8.0,0.0,2,1,0,95001.99,0.0,0.2222222222222222,0,693.0,1,1.0,0
641.0,France,Male,66,0.0,0.0,2,1,0,1920.19,0.0,2.0,0,66.0,1,1.0,0
604.0,Spain,Male,67,7.0,0.0,1,0,1,88898.93,0.0,0.125,1,536.0,1,1.0,0
644.0,France,Female,71,3.0,75339.79,1,1,1,187164.25,0.40253086510449987,0.25,1,284.0,0,0.5,1
510.0,France,Male,54,6.0,0.0,2,0,1,65331.97,0.0,0.2857142857142857,2,378.0,1,2.0,0
827.0,Spain,Male,61,7.0,56623.19,1,1,0,174975.57,0.32360441172209514,0.125,0,488.0,0,0.5,0
637.0,Germany,Female,53,6.0,77835.29,2,1,1,175086.79,0.44455007399430874,0.2857142857142857,2,371.0,0,1.0,0
469.0,Spain,Female,37,9.0,0.0,2,1,1,189452.75,0.0,0.2,2,370.0,1,1.0,0
632.0,Germany,Female,46,3.0,0.0,2,0,1,8157.91,0.0,0.5,2,184.0,1,2.0,0
578.0,Spain,Male,42,10.0,57330.18,2,1,0,63518.06,0.9025665682080308,0.18181818181818182,0,462.0,0,1.0,0
570.0,Spain,Male,54,6.0,0.0,2,1,0,65371.81,0.0,0.2857142857142857,0,378.0,1,1.0,0
568.0,Germany,Male,60,1.0,148455.26,1,1,0,79740.82,1.8616989178325751,0.5,0,120.0,0,0.5,1
634.0,Spain,Male,56,2.0,0.0,1,0,0,143027.35,0.0,0.3333333333333333,0,168.0,1,1.0,0
821.0,Germany,Female,60,5.0,36688.13,1,0,1,164424.78,0.22312881836412757,0.16666666666666666,1,360.0,0,1.0,0
694.0,France,Male,71,9.0,44122.9,1,0,0,49883.14,0.8845075809666159,0.1,0,710.0,0,1.0,0
677.0,Germany,Male,45,9.0,103758.93,2,1,1,32117.3,3.2305237201221733,0.2,2,450.0,0,1.0,0
849.0,France,Male,66,4.0,0.0,2,1,0,,,0.4,0,330.0,1,1.0,0
514.0,Spain,Male,30,7.0,0.0,1,0,1,32403.12,0.0,0.125,1,240.0,1,1.0,0
